Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN
Balanced Logistic Regression,2,Operations_PatrolsInterventions,0.4454054054054054,0.4276291110293534,0.38461538461538464,0.6666666666666666,0.027210884353741496,0.3333333333333333,0.6666666666666666,0.9727891156462585,20,32,10,1144
Balanced Logistic Regression,2,StateAdministration,0.4454054054054054,0.4276291110293534,0.27,0.6136363636363636,0.06282271944922548,0.38636363636363635,0.6136363636363636,0.9371772805507745,27,73,17,1089
Balanced Logistic Regression,2,RefugeeAssistance,0.4454054054054054,0.4276291110293534,0.25396825396825395,0.7619047619047619,0.039662447257383965,0.23809523809523808,0.7619047619047619,0.960337552742616,16,47,5,1138
Balanced Logistic Regression,2,ElectionAssistance,0.4454054054054054,0.4276291110293534,0.31666666666666665,0.8636363636363636,0.03462837837837838,0.13636363636363635,0.8636363636363636,0.9653716216216216,19,41,3,1143
Balanced Logistic Regression,2,LegalReform,0.4454054054054054,0.4276291110293534,0.21348314606741572,0.7307692307692307,0.059322033898305086,0.2692307692307692,0.7307692307692307,0.940677966101695,19,70,7,1110
Balanced Logistic Regression,2,CivilSocietyAssistance,0.4454054054054054,0.4276291110293534,0.26666666666666666,0.8484848484848485,0.06564364876385337,0.15151515151515152,0.8484848484848485,0.9343563512361467,28,77,5,1096
Balanced Logistic Regression,3,PoliceReform,0.46444444444444444,0.44357265154039605,0.43575418994413406,0.7428571428571429,0.09173478655767484,0.2571428571428571,0.7428571428571429,0.9082652134423251,78,101,27,1000
Balanced Logistic Regression,3,Operations_PatrolsInterventions,0.46444444444444444,0.44357265154039605,0.3898305084745763,0.7666666666666667,0.030612244897959183,0.23333333333333334,0.7666666666666667,0.9693877551020408,23,36,7,1140
Balanced Logistic Regression,3,StateAdministration,0.46444444444444444,0.44357265154039605,0.29245283018867924,0.7209302325581395,0.0644883920894239,0.27906976744186046,0.7209302325581395,0.9355116079105761,31,75,12,1088
Balanced Logistic Regression,3,RefugeeAssistance,0.46444444444444444,0.44357265154039605,0.25806451612903225,0.7619047619047619,0.038818565400843885,0.23809523809523808,0.7619047619047619,0.9611814345991562,16,46,5,1139
Balanced Logistic Regression,3,ElectionAssistance,0.46444444444444444,0.44357265154039605,0.2807017543859649,0.6956521739130435,0.034657650042265425,0.30434782608695654,0.6956521739130435,0.9653423499577346,16,41,7,1142
Balanced Logistic Regression,3,LegalReform,0.46444444444444444,0.44357265154039605,0.3,0.6923076923076923,0.03559322033898305,0.3076923076923077,0.6923076923076923,0.964406779661017,18,42,8,1138
Balanced Logistic Regression,3,CivilSocietyAssistance,0.46444444444444444,0.44357265154039605,0.27835051546391754,0.84375,0.059625212947189095,0.15625,0.84375,0.9403747870528109,27,70,5,1104
Balanced Logistic Regression,4,PoliceReform,0.4651685393258427,0.4410537803735079,0.4263157894736842,0.7714285714285715,0.09900090826521345,0.22857142857142856,0.7714285714285715,0.9009990917347865,81,109,24,992
Balanced Logistic Regression,4,Operations_PatrolsInterventions,0.4651685393258427,0.4410537803735079,0.40350877192982454,0.7666666666666667,0.02891156462585034,0.23333333333333334,0.7666666666666667,0.9710884353741497,23,34,7,1142
Balanced Logistic Regression,4,StateAdministration,0.4651685393258427,0.4410537803735079,0.3146067415730337,0.6363636363636364,0.05249569707401033,0.36363636363636365,0.6363636363636364,0.9475043029259896,28,61,16,1101
Balanced Logistic Regression,4,RefugeeAssistance,0.4651685393258427,0.4410537803735079,0.27586206896551724,0.7619047619047619,0.035443037974683546,0.23809523809523808,0.7619047619047619,0.9645569620253165,16,42,5,1143
Balanced Logistic Regression,4,ElectionAssistance,0.4651685393258427,0.4410537803735079,0.2459016393442623,0.6521739130434783,0.03888419273034658,0.34782608695652173,0.6521739130434783,0.9611158072696534,15,46,8,1137
Balanced Logistic Regression,4,LegalReform,0.4651685393258427,0.4410537803735079,0.27692307692307694,0.72,0.03979678238780694,0.28,0.72,0.9602032176121931,18,47,7,1134
Balanced Logistic Regression,4,CivilSocietyAssistance,0.4651685393258427,0.4410537803735079,0.28888888888888886,0.8125,0.054514480408858604,0.1875,0.8125,0.9454855195911414,26,64,6,1110
Balanced Logistic Regression,5,PoliceReform,0.4581497797356828,0.42960537208465466,0.44886363636363635,0.7523809523809524,0.08810172570390554,0.24761904761904763,0.7523809523809524,0.9118982742960945,79,97,26,1004
Balanced Logistic Regression,5,Operations_PatrolsInterventions,0.4581497797356828,0.42960537208465466,0.328125,0.6774193548387096,0.03659574468085106,0.3225806451612903,0.6774193548387096,0.963404255319149,21,43,10,1132
Balanced Logistic Regression,5,StateAdministration,0.4581497797356828,0.42960537208465466,0.28688524590163933,0.7954545454545454,0.07487091222030981,0.20454545454545456,0.7954545454545454,0.9251290877796902,35,87,9,1075
Balanced Logistic Regression,5,RefugeeAssistance,0.4581497797356828,0.42960537208465466,0.23636363636363636,0.65,0.03541315345699832,0.35,0.65,0.9645868465430016,13,42,7,1144
Balanced Logistic Regression,5,ElectionAssistance,0.4581497797356828,0.42960537208465466,0.27586206896551724,0.7272727272727273,0.03547297297297297,0.2727272727272727,0.7272727272727273,0.964527027027027,16,42,6,1142
Balanced Logistic Regression,5,LegalReform,0.4581497797356828,0.42960537208465466,0.25,0.7692307692307693,0.05084745762711865,0.23076923076923078,0.7692307692307693,0.9491525423728814,20,60,6,1120
Balanced Logistic Regression,5,CivilSocietyAssistance,0.4581497797356828,0.42960537208465466,0.3287671232876712,0.75,0.041737649063032366,0.25,0.75,0.9582623509369677,24,49,8,1125
Random Forest,1,PoliceReform,0.2088607594936709,0.14274439182040016,0.9090909090909091,0.19047619047619047,0.0018165304268846503,0.8095238095238095,0.19047619047619047,0.9981834695731153,20,2,85,1099
Random Forest,1,Operations_PatrolsInterventions,0.2088607594936709,0.14274439182040016,1.0,0.1935483870967742,0.0,0.8064516129032258,0.1935483870967742,1.0,6,0,25,1175
Random Forest,1,StateAdministration,0.2088607594936709,0.14274439182040016,1.0,0.11363636363636363,0.0,0.8863636363636364,0.11363636363636363,1.0,5,0,39,1162
Random Forest,1,RefugeeAssistance,0.2088607594936709,0.14274439182040016,1.0,0.05,0.0,0.95,0.05,1.0,1,0,19,1186
Random Forest,1,ElectionAssistance,0.2088607594936709,0.14274439182040016,0.0,0.0,0.0,1.0,0.0,1.0,0,0,23,1183
Random Forest,1,LegalReform,0.2088607594936709,0.14274439182040016,0.0,0.0,0.0,1.0,0.0,1.0,0,0,26,1180
Random Forest,1,CivilSocietyAssistance,0.2088607594936709,0.14274439182040016,1.0,0.03125,0.0,0.96875,0.03125,1.0,1,0,31,1174
Random Forest,2,PoliceReform,0.21019108280254778,0.1654262774072066,0.9411764705882353,0.1523809523809524,0.0009082652134423251,0.8476190476190476,0.1523809523809524,0.9990917347865577,16,1,89,1100
Random Forest,2,Operations_PatrolsInterventions,0.21019108280254778,0.1654262774072066,1.0,0.23333333333333334,0.0,0.7666666666666667,0.23333333333333334,1.0,7,0,23,1176
Random Forest,2,StateAdministration,0.21019108280254778,0.1654262774072066,1.0,0.1590909090909091,0.0,0.8409090909090909,0.1590909090909091,1.0,7,0,37,1162
Random Forest,2,RefugeeAssistance,0.21019108280254778,0.1654262774072066,1.0,0.05,0.0,0.95,0.05,1.0,1,0,19,1186
Random Forest,2,ElectionAssistance,0.21019108280254778,0.1654262774072066,1.0,0.045454545454545456,0.0,0.9545454545454546,0.045454545454545456,1.0,1,0,21,1184
Random Forest,2,LegalReform,0.21019108280254778,0.1654262774072066,0.0,0.0,0.000847457627118644,1.0,0.0,0.9991525423728813,0,1,26,1179
Random Forest,2,CivilSocietyAssistance,0.21019108280254778,0.1654262774072066,1.0,0.03125,0.0,0.96875,0.03125,1.0,1,0,31,1174
Random Forest,3,PoliceReform,0.16774193548387098,0.11955246557434063,0.8823529411764706,0.14285714285714285,0.0018181818181818182,0.8571428571428571,0.14285714285714285,0.9981818181818182,15,2,90,1098
Random Forest,3,Operations_PatrolsInterventions,0.16774193548387098,0.11955246557434063,1.0,0.03333333333333333,0.0,0.9666666666666667,0.03333333333333333,1.0,1,0,29,1175
Random Forest,3,StateAdministration,0.16774193548387098,0.11955246557434063,1.0,0.1590909090909091,0.0,0.8409090909090909,0.1590909090909091,1.0,7,0,37,1161
Random Forest,3,RefugeeAssistance,0.16774193548387098,0.11955246557434063,1.0,0.047619047619047616,0.0,0.9523809523809523,0.047619047619047616,1.0,1,0,20,1184
Random Forest,3,ElectionAssistance,0.16774193548387098,0.11955246557434063,1.0,0.045454545454545456,0.0,0.9545454545454546,0.045454545454545456,1.0,1,0,21,1183
Random Forest,3,LegalReform,0.16774193548387098,0.11955246557434063,1.0,0.038461538461538464,0.0,0.9615384615384616,0.038461538461538464,1.0,1,0,25,1179
Random Forest,3,CivilSocietyAssistance,0.16774193548387098,0.11955246557434063,0.0,0.0,0.0008532423208191126,1.0,0.0,0.9991467576791809,0,1,33,1171
Random Forest,4,PoliceReform,0.16666666666666666,0.13384590227973123,0.9230769230769231,0.11428571428571428,0.0009082652134423251,0.8857142857142857,0.11428571428571428,0.9990917347865577,12,1,93,1100
Random Forest,4,Operations_PatrolsInterventions,0.16666666666666666,0.13384590227973123,0.8571428571428571,0.2,0.0008503401360544217,0.8,0.2,0.9991496598639455,6,1,24,1175
Random Forest,4,StateAdministration,0.16666666666666666,0.13384590227973123,0.8571428571428571,0.13636363636363635,0.0008605851979345956,0.8636363636363636,0.13636363636363635,0.9991394148020654,6,1,38,1161
Random Forest,4,RefugeeAssistance,0.16666666666666666,0.13384590227973123,1.0,0.09523809523809523,0.0,0.9047619047619048,0.09523809523809523,1.0,2,0,19,1185
Random Forest,4,ElectionAssistance,0.16666666666666666,0.13384590227973123,0.0,0.0,0.0008445945945945946,1.0,0.0,0.9991554054054054,0,1,22,1183
Random Forest,4,LegalReform,0.16666666666666666,0.13384590227973123,0.0,0.0,0.000847457627118644,1.0,0.0,0.9991525423728813,0,1,26,1179
Random Forest,4,CivilSocietyAssistance,0.16666666666666666,0.13384590227973123,0.0,0.0,0.0008517887563884157,1.0,0.0,0.9991482112436116,0,1,32,1173
Random Forest,5,PoliceReform,0.1870967741935484,0.13715529540220073,0.8823529411764706,0.14285714285714285,0.0018165304268846503,0.8571428571428571,0.14285714285714285,0.9981834695731153,15,2,90,1099
Random Forest,5,Operations_PatrolsInterventions,0.1870967741935484,0.13715529540220073,1.0,0.23333333333333334,0.0,0.7666666666666667,0.23333333333333334,1.0,7,0,23,1176
Random Forest,5,StateAdministration,0.1870967741935484,0.13715529540220073,1.0,0.13953488372093023,0.0,0.8604651162790697,0.13953488372093023,1.0,6,0,37,1163
Random Forest,5,RefugeeAssistance,0.1870967741935484,0.13715529540220073,1.0,0.047619047619047616,0.0,0.9523809523809523,0.047619047619047616,1.0,1,0,20,1185
Random Forest,5,ElectionAssistance,0.1870967741935484,0.13715529540220073,0.0,0.0,0.0,1.0,0.0,1.0,0,0,23,1183
Random Forest,5,LegalReform,0.1870967741935484,0.13715529540220073,0.0,0.0,0.0,1.0,0.0,1.0,0,0,25,1181
Random Forest,5,CivilSocietyAssistance,0.1870967741935484,0.13715529540220073,0.0,0.0,0.0,1.0,0.0,1.0,0,0,32,1174
